id,domain,biological_mechanism,computational_problem,abstraction,biology_status,ml_status,llm_agent_status,implementation_examples,benchmark_evidence,transfer_status,primary_risk,next_test,biology_sources,ai_sources
"BTA-011","temporal-memory","temporal context and order memory","distinguish versions sequence and recency without collapsing time","valid-time transaction-time and sequence-aware indexing","supported","mature","demonstrated","temporal databases; Graphiti; TiMem; Ledger-QA","partial","active_project_hypothesis","recency can override valid older facts and timestamp parsing can leak templates","versioned histories with natural relative dates stale intrusions and delayed return","https://doi.org/10.1037/0033-295X.109.2.269","https://arxiv.org/abs/2602.18493"
"BTA-012","memory-updating","reconsolidation after reactivation","revise a re-used memory while preserving prior evidence","retrieval-triggered candidate revision with append-only supersession","contested","demonstrated","sparse","versioned memory updates; Memory-R1 UPDATE; CLIN-like rule revision","weak","active_project_hypothesis","retrieval-triggered overwrite can corrupt correct originals and replication boundaries are narrow","no update versus append-both in-place overwrite and evidence-bearing supersession","https://doi.org/10.1038/35021052|https://doi.org/10.1080/09658211.2016.1187755","https://arxiv.org/abs/2508.19828"
"BTA-013","forgetting","retrieval-induced forgetting","reduce competition from related non-target memories after selective retrieval","reversible competitor suppression conditioned on query scope","supported","demonstrated","none_found","inhibitory control models; negative sampling; reranking suppression","none","gap_candidate","suppression can hide critical alternatives or encode popularity bias","target retrieval plus collateral recall recovery and scope-shift tests","https://doi.org/10.1037/0278-7393.20.5.1063",""
"BTA-014","forgetting","active adaptive forgetting","remove or reduce access to information that impairs current behavior","archive suppression and index exclusion with recovery","supported","mature","partial","learned deletion; decay; Unable-to-Forget benchmark; MemCon forgetting","partial","active_project_hypothesis","physical deletion is irreversible and reward can suppress rare critical evidence","save-all versus archive suppression deletion and oracle under utility reversal","https://doi.org/10.1016/j.cell.2012.08.027|https://doi.org/10.1038/s41467-018-03520-3","https://arxiv.org/abs/2607.13591"
"BTA-015","prospective-memory","prospective condition-action memory","remember to perform a future action when a condition occurs","external triggerable intention with validity rescue and completion state","supported","mature","sparse","calendars; schedulers; tool triggers; reminders","weak","gap_candidate","polling cost false triggers stale intentions and unsafe autonomous action","triggered commitment versus ordinary retrieval with delayed cues and revocation","https://doi.org/10.1080/17470218.2015.1054846","https://aclanthology.org/2026.acl-long.1150/"
"BTA-016","metamemory","monitoring and control","decide whether to retrieve reformulate ask stop answer or abstain","typed monitor state controlling search actions","supported","mature","partial","selective prediction; semantic uncertainty; learned retrieval triggers","partial","active_project_hypothesis","confidence and backend agreement share common-mode error","typed controller versus scalar confidence always-search and never-search risk-coverage curves","https://doi.org/10.1016/S0079-7421(08)60053-5","https://proceedings.mlr.press/v97/geifman19a.html|https://doi.org/10.1038/s41586-024-07421-0"
"BTA-017","salience","emotional arousal modulation","prioritize limited encoding consolidation and retrieval resources by consequence","multidimensional consequence urgency valence and controllability signals","mixed","mature","partial","importance scores; Generative Agents; Amygdala; affective memory prototypes","weak","active_project_hypothesis","dramatic content crowds out neutral critical evidence and is easy to poison","factorized salience ablation with collateral-memory and adversarial-emotional-language tests","https://doi.org/10.1146/annurev.neuro.27.070203.144157","https://doi.org/10.1145/3586183.3606763"
"BTA-018","neuromodulation","reward prediction error effects on memory","update allocation when outcomes differ from expectation","calibrated signed prediction-error feature separated from reward magnitude","supported","mature","partial","temporal-difference learning; surprise-weighted memory; MemRL","partial","active_project_hypothesis","prediction error depends on a possibly wrong predictor and novelty is not future utility","prediction error versus reward magnitude surprise relevance and causal future utility","https://doi.org/10.1016/j.neuroimage.2019.04.053","https://github.com/MemTensor/MemRL"
"BTA-019","memory-allocation","novelty and synaptic tagging/capture","temporarily mark weak events for later stabilization when related novelty occurs","expiring eligibility tag plus linked later promotion","supported","demonstrated","none_found","eligibility traces in RL; delayed write queues","none","gap_candidate","global novelty promotes unrelated noise and leaks future information","temporal and semantic linkage factorial with expired and sham tags","https://doi.org/10.1523/JNEUROSCI.1083-07.2007|https://doi.org/10.1073/pnas.0911478107",""
"BTA-020","schema-memory","schema formation and accelerated assimilation","integrate consistent experiences faster after stable structure exists","evidence-linked schema induction with exception and conflict slots","supported","mature","partial","rule induction; ExpeL; ICAL; reflection trees","partial","gap_candidate","premature schemas create confirmation bias and erase exceptions","episode-only versus induced schema with counterexamples distribution shift and rollback","https://doi.org/10.1126/science.1135935","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8ac50fd0a4eeeb1f077b17bb7c5353c3-Abstract-Conference.html"
"BTA-021","procedural-memory","skill and habit memory","reuse action policies without re-deriving every step","versioned executable or declarative skill with preconditions outcomes and rollback","supported","mature","demonstrated","Voyager skill library; procedural stores; MIRIX; Acontext","partial","gap_candidate","procedures become stale execute outside scope or bypass evidence checks","first-action procedural transfer with interference inhibition and stale-skill reversal","https://doi.org/10.1146/annurev.neuro.27.070203.144230","https://aclanthology.org/2026.acl-long.1301/"
"BTA-022","control-systems","goal-directed versus habitual arbitration","choose cached procedures only when current outcome model supports them","state and consequence conditioned skill gate","mixed","mature","none_found","model-based versus model-free RL; planner-skill arbitration","none","gap_candidate","a stress metaphor may hard-code unsafe procedural bias and null evidence is ignored","goal devaluation and rule-change benchmark with no-shift baseline","https://doi.org/10.1523/JNEUROSCI.0979-09.2009|https://doi.org/10.1371/journal.pone.0327807",""
"BTA-023","learning-by-retrieval","retrieval practice testing effect","improve later accessibility by successful effortful retrieval","verified-use rehearsal separated from access frequency","supported","mature","none_found","spaced-repetition systems; replay; use-count ranking","strong outside agents","gap_candidate","self-reinforcing popularity amplifies wrong memories and exposure bias","verified successful retrieval versus exposure count restudy and random rehearsal","https://doi.org/10.1111/j.1467-9280.2006.01693.x",""
"BTA-024","learning-schedule","spacing effect","schedule repetitions to improve delayed retention under limited practice","adaptive review interval with uncertainty and consequence constraints","established","mature","none_found","spaced repetition; Leitner/SM-2 schedulers","strong outside agents","gap_candidate","fixed decay curves assume stationary value and can over-rehearse easy items","massed versus fixed-spaced adaptive-spaced and no-replay delayed transfer","https://doi.org/10.1037/0033-2909.132.3.354",""
"BTA-025","inhibitory-learning","extinction as new inhibitory learning","suppress an obsolete response without assuming the original trace vanished","context-conditioned supersession and safe fallback","supported","mature","none_found","policy deactivation; validity rules; refusal memories","none","gap_candidate","suppressed stale behavior can spontaneously return in a new context","overwrite versus coexistence suppression and deletion with renewal/reinstatement probes","https://doi.org/10.1037/0033-2909.114.1.80|https://doi.org/10.1038/nature08637",""
"BTA-026","engram-allocation","competitive memory allocation","select which concurrent events share or separate representations","temporary eligibility plus competition and capacity budget","supported","demonstrated","none_found","mixture routing; sparse expert allocation; clustering","none","gap_candidate","allocation can merge unrelated events and create salience monopolies","concurrent-event linkage and interference test under matched capacity","https://doi.org/10.1016/j.neuron.2014.07.017|https://doi.org/10.1038/s41467-020-15927-2",""
"BTA-027","relational-memory","cognitive maps and relational structure","navigate relations and transfer across structurally similar situations","typed relational graph with temporal and provenance edges","supported","mature","demonstrated","knowledge graphs; successor representations; HippoRAG; Graphiti","partial","existing_baseline","graph construction errors create false paths and topology can leak labels","graph versus sparse dense and hybrid retrieval on multi-hop and false-path cases","https://doi.org/10.1037/h0061626","https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html"
"BTA-028","hippocampal-indexing","hippocampal indexing theory","bind distributed features into retrievable episode indexes","entity-relation index pointing to immutable evidence","supported","demonstrated","demonstrated","indexing models; HippoRAG graph plus Personalized PageRank","partial","existing_baseline","branding graph retrieval as hippocampal does not validate the mapping","reproduce HippoRAG against BM25 dense graph and oracle under identical reader budget","https://doi.org/10.1002/hipo.450030107","https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html"
"BTA-029","executive-control","prefrontal working-memory gating","select when to update maintain or clear active representations","typed admission update clear and protect gate for context","supported","mature","partial","gated recurrent networks; context managers; MemGPT; MemCon","partial","gap_candidate","one learned gate couples capture retrieval and deletion errors","factorized update/maintain/clear controller versus LRU relevance and oracle","https://doi.org/10.1016/j.neunet.2005.10.002","https://arxiv.org/abs/2607.13591"
"BTA-030","stability","homeostatic plasticity","prevent runaway strengthening while preserving responsive learning","bounded normalization and per-source/per-type budgets","supported","mature","none_found","weight normalization; quotas; rate limits","none","gap_candidate","normalization can erase genuinely unequal importance and hide attacks","unbounded salience versus global and typed homeostatic budgets under repeated events","https://doi.org/10.1016/j.cell.2008.01.008",""
"BTA-031","offline-processing","sleep-state-dependent memory processing","separate online action from maintenance and test phase-specific operations","explicit task-active idle and maintenance phases","supported","mature","sparse","background workers; Sleeping LLM prototypes; scheduled consolidation","weak","gap_candidate","nightly batch processing is not evidence for sleep mechanisms and may age data","online-only versus idle maintenance with identical total compute and freshness controls","https://doi.org/10.1523/JNEUROSCI.22-15-06830.2002","https://github.com/langchain-ai/langmem"
"BTA-032","generative-replay","generative reconstruction for replay","retain earlier distributions without storing or replaying every exact sample","generated rehearsal linked to source episodes and uncertainty","supported","demonstrated","sparse","deep generative replay; generative continual concept learning","partial","gap_candidate","generated pseudo-episodes hallucinate and laundering destroys provenance","exact extractive and generated replay under forgetting fidelity and poison metrics","https://doi.org/10.1016/j.neuron.2013.06.007","https://papers.nips.cc/paper/2017/hash/0efbe98067c6c73dba1250d2beaa81f9-Abstract.html|https://arxiv.org/abs/1906.03744"
"BTA-033","autobiographical-memory","self-memory and identity continuity","maintain stable user or agent commitments while representing change","versioned core identity/preference records distinct from episodes","supported","demonstrated","partial","Generative Agents; MIRIX core memory; Letta persona memory","weak","gap_candidate","summarized identity freezes outdated sensitive inferences and encourages anthropomorphism","core-memory versus episodic-only with preference change consent export and correction","https://doi.org/10.1016/j.concog.2005.09.005","https://arxiv.org/abs/2507.07957"
"BTA-034","implicit-memory","priming","past exposure biases later processing without explicit recall","first-action behavioral influence trace separated from factual retrieval","supported","mature","demonstrated","prompt priming; in-context examples; ImplicitMemBench","strong diagnostic","gap_candidate","unwanted implicit bias and contamination can look like useful memory","paired prime/control first-action test with factual recall hidden","https://doi.org/10.1037/0033-295X.99.2.322","https://aclanthology.org/2026.acl-long.1301/"
"BTA-035","implicit-memory","classical conditioning","learn predictive cue-outcome associations that alter first decisions","typed cue-consequence policy proposal with explicit safety gate","supported","mature","demonstrated","associative RL; ImplicitMemBench conditioning probes","strong diagnostic","background_only","automatic cue-driven action can encode manipulation bias and unsafe reflexes","preference versus inhibition conditioning with reversal and adversarial cue tests","https://doi.org/10.1037/h0033453","https://aclanthology.org/2026.acl-long.1301/"
"BTA-036","memory-timescales","cascade of retention timescales","retain information across short and long horizons without one brittle decay rate","multiple reversible tiers with typed transition rules","supported","demonstrated","partial","cascade models; tiered caches; MemGPT/Letta; TiMem","partial","gap_candidate","tier metaphors conflate access latency value and legal retention","single decay versus fixed tiers typed tiers and oracle across delay distributions","https://doi.org/10.1038/nn.5156","https://arxiv.org/abs/2310.08560"
"BTA-037","prospective-simulation","preplay and prospective sequence generation","prepare plausible future action sequences before direct experience","sandboxed simulation memory with provenance and non-factual status","supported","mature","sparse","planning rollouts; model-based RL; self-play traces","weak","gap_candidate","simulations contaminate factual memory and confirmation loops reward fantasies","planning with separated simulated traces versus merged memory and no preplay","https://doi.org/10.1038/nature09633","https://proceedings.neurips.cc/paper_files/paper/2024/hash/df2d62b96a4003203450cf89cd338bb7-Abstract-Conference.html"
"BTA-038","reality-monitoring","reality and imagination monitoring","distinguish observed external events from inference simulation and generation","mandatory origin type confidence and evidence boundary","supported","demonstrated","sparse","data lineage; provenance labels; synthetic-data tags","weak","gap_candidate","model-generated summaries can be re-ingested as observations and become false facts","observed inferred simulated and generated source discrimination with recursive ingestion","https://doi.org/10.1037/0033-295X.88.1.67","https://proceedings.neurips.cc/paper_files/paper/2024/hash/eb113910e9c3f6242541c1652e30dfd6-Abstract-Conference.html"
