"category","priority","download","repository","html_url","description","stars","forks","open_issues","updated_at","default_branch","license","archived","size_kb","primary_use","notes"
"coding-trajectories","A","yes","choucisan/mimo-claude-code-traces-1k","https://github.com/choucisan/mimo-claude-code-traces-1k","MIMO Claude Code Traces is a collection of coding-agent trajectories in a Claude Code-style environment. ","5","0","0","2026-08-14T17:33:13Z","main","MIT","False","357","failures recovery and effort labels","Inspect data provenance license and suitability for outcome-derived labels"
"foundational-agent","B","yes","joonspk-research/generative_agents","https://github.com/joonspk-research/generative_agents","Generative Agents: Interactive Simulacra of Human Behavior","21970","3078","146","2026-08-23T04:34:25Z","main","Apache-2.0","False","48341","recency importance relevance reflection","Foundational memory-stream baseline and reflection behavior"
"foundational-agent","B","yes","noahshinn/reflexion","https://github.com/noahshinn/reflexion","[NeurIPS 2023] Reflexion: Language Agents with Verbal Reinforcement Learning","3239","315","24","2026-08-22T17:18:12Z","main","MIT","False","9105","verbal reinforcement and reflection","Study episodic feedback and downstream reuse"
"procedural-memory","B","yes","MineDojo/Voyager","https://github.com/MineDojo/Voyager","An Open-Ended Embodied Agent with Large Language Models","7154","700","8","2026-08-23T01:33:34Z","main","MIT","False","5270","skill library and lifelong embodied learning","Study executable procedures curriculum and skill retrieval"
"experience-learning","B","yes","LeapLabTHU/ExpeL","https://github.com/LeapLabTHU/ExpeL",,"236","28","6","2026-08-18T07:28:11Z","main","Apache-2.0","False","12468","experience extraction and reuse","Study lessons from trajectories and cross-task transfer"
"conversational-memory","B","yes","zhongwanjun/MemoryBank-SiliconFriend","https://github.com/zhongwanjun/MemoryBank-SiliconFriend","Source code and demo for memory bank and SiliconFriend","445","60","16","2026-08-19T08:57:47Z","main","MIT","False","2004","long-term user memory","Inspect forgetting curve persona and memory update assumptions"
"hierarchical-retrieval","B","yes","parthsarthi03/raptor","https://github.com/parthsarthi03/raptor","The official implementation of RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval","1744","233","44","2026-08-22T06:37:06Z","master","MIT","False","836","tree-organized retrieval","Compare recursive summaries with exact-evidence retrieval"
"graph-retrieval","B","no","microsoft/graphrag","https://github.com/microsoft/graphrag","A modular graph-based Retrieval-Augmented Generation (RAG) system","35634","3741","36","2026-08-23T03:56:03Z","main","MIT","False","207835","graph RAG reference","Large general RAG project; review selectively instead of cloning initially"
"benchmark","B","no","GoodAI/goodai-ltm-benchmark","https://github.com/GoodAI/goodai-ltm-benchmark","A library for benchmarking the Long Term Memory and Continual learning capabilities of  LLM based agents. With all the tests and code you need to evaluate your own agents. See more in the blogpost:","88","13","0","2026-08-02T01:04:28Z","main","NOASSERTION","False","226656","long-term memory and continual-learning tests","Large repository; inspect methodology and licensing before download"
"memory-governance","B","yes","rzhub/GateMem","https://github.com/rzhub/GateMem","GateMem: a benchmark and evaluation toolkit for memory governance in multi-principal shared-memory LLM agents.","197","4","0","2026-08-22T18:32:27Z","main","MIT","False","4590","shared-memory governance","Study multi-principal access policy and evaluation"
"emotional-memory","C","yes","NOBI327/amygdala","https://github.com/NOBI327/amygdala","Emotion-Weighted Memory System - LLM memory with emotion-based retrieval","5","0","0","2026-05-04T19:48:17Z","main","MIT","False","451","emotion-weighted retrieval prototype","Small exploratory project; use only as comparison to operational salience"
"curated-index","A","yes","IAAR-Shanghai/Awesome-AI-Memory","https://github.com/IAAR-Shanghai/Awesome-AI-Memory","Awesome AI Memory | LLM Memory | A curated knowledge base on AI memory for LLMs and agents, covering long-term memory, reasoning, retrieval, and memory-native system design.  Awesome-AI-Memory 是一个 集中式、持续更新的 AI 记忆知识库，系统性整理了与 大模型记忆（LLM Memory）与智能体记忆（Agent Memory） 相关的前沿研究、工程框架、系统设计、评测基准与真实应用实践。","1171","119","5","2026-08-22T08:50:58Z","main","Apache-2.0","False","9235","continuous paper and system discovery","Use as a lead generator; independently verify every source"
"curated-index","A","yes","TeleAI-UAGI/Awesome-Agent-Memory","https://github.com/TeleAI-UAGI/Awesome-Agent-Memory","Curated systems, benchmarks, and papers etc. on memory for LLMs/MLLMs --- long-term context, retrieval, and reasoning.","597","86","0","2026-08-23T03:45:24Z","main","Apache-2.0","False","1942","agent-memory bibliography","Use as a lead generator; independently verify every source"
"tutorials","B","yes","NirDiamant/Agent_Memory_Techniques","https://github.com/NirDiamant/Agent_Memory_Techniques","Agent memory for LLMs: 30 runnable Jupyter notebooks covering conversation buffers, vector stores, knowledge graphs, episodic and semantic memory, MemGPT, Mem0, Letta, Zep, Graphiti, LoCoMo benchmarks, and production patterns.","926","120","0","2026-08-22T14:40:04Z","main","Apache-2.0","False","7161","runnable technique comparisons","Useful for quickly reproducing architecture patterns; not primary evidence"
"context-management","B","no","horizon-llm/CoMem","https://github.com/horizon-llm/CoMem","[ICML 2026] CoMem: Context Management with A Decoupled Long-Context Model","3","0","0","2026-08-21T02:17:45Z","main","Apache-2.0","False","43106","decoupled context compression","Comparison class; modifies context-management architecture beyond core local-store target"
"emerging-system","C","no","LycheeMem/LycheeMem","https://github.com/LycheeMem/LycheeMem","Lightweight Long-Term Memory for LLM Agents.","1154","16","1","2026-08-21T17:24:08Z","master","Apache-2.0","False","5487","new long-term memory system","Monitor; require paper and benchmark audit before promotion"
"emerging-system","C","no","TIMAN-group/PlugMem","https://github.com/TIMAN-group/PlugMem","ICML 2026 · Plug-and-play long-term memory for LLM agents","290","28","5","2026-08-22T02:11:14Z","main","Apache-2.0","False","7771","new memory framework","Monitor; inspect claims and independent reproducibility"
"governance","B","no","ProsusAI/MemEval","https://github.com/ProsusAI/MemEval","Benchmark suite for evaluating agent and LLM memory systems","29","4","2","2026-08-20T03:22:34Z","main","Apache-2.0","False","1237","memory evaluation project","Inspect scope and distinction from similarly named benchmarks"
"research-code","B","yes","amvjakob/wm-rate-distortion","https://github.com/amvjakob/wm-rate-distortion","Code for ""Rate-distortion theory of neural coding and its implications for working memory"" by Jakob and Gershman (2022).","3","0","0","2023-10-23T02:20:23Z","main","NOASSERTION","False","824","rate-distortion working-memory reproduction","Primary code for Figures 2-8; current revision lacks pinned Julia environment bundled data and license so reproduction is blocked pending dependency/data reconstruction"
"research-code","A","yes","zhuangziGiantfish/Unable-to-Forget","https://github.com/zhuangziGiantfish/Unable-to-Forget","Unable to forget: Proactive lnterference Reveals Working Memory Limits in LLMs Beyond Context Length","8","2","0","2026-08-09T01:53:39Z","main","MIT","False","483","proactive-interference benchmark","Pinned benchmark generator candidate; MIT; use core generation and error-position logic only after credential removal seed freezing parser tests and bug fixes"
"dense-retrieval","A","yes","huggingface/sentence-transformers","https://github.com/huggingface/sentence-transformers","State-of-the-Art Embeddings, Retrieval, and Reranking","19030","2863","1318","2026-08-23T03:46:33Z","main","Apache-2.0","False","45281","local multilingual embedding inference","Primary inference and evaluation library candidate; pin package code and model revisions separately"
"dense-retrieval","A","yes","FlagOpen/FlagEmbedding","https://github.com/FlagOpen/FlagEmbedding","Retrieval and Retrieval-augmented LLMs","12071","907","910","2026-08-22T13:18:44Z","master","MIT","False","52002","BGE-M3 dense and multi-function retrieval","Resource-ceiling multilingual candidate; evaluate dense-only before any native sparse or multi-vector mode"
"vector-search","A","yes","facebookresearch/faiss","https://github.com/facebookresearch/faiss","A library for efficient similarity search and clustering of dense vectors.","40790","4500","287","2026-08-22T20:42:56Z","main","MIT","False","285209","exact vector search reference","Use IndexFlatIP only as a checked implementation of normalized exact cosine before testing approximate indexes"
"vector-storage","B","yes","asg017/sqlite-vec","https://github.com/asg017/sqlite-vec","A vector search SQLite extension that runs anywhere!","8040","349","202","2026-08-22T07:08:15Z","main","Apache-2.0","False","1306","portable SQLite vector extension","Storage and deployment candidate only; do not confound it with the first embedding-quality comparison"
"benchmark","A","yes","sdadas/pirb","https://github.com/sdadas/pirb",,"6","2","0","2026-08-18T12:05:15Z","master","Apache-2.0","False","33573","Polish dense sparse and hybrid retrieval benchmark","Use as Polish transfer and method-design evidence; audit individual dataset licenses before downloading any corpus"
"utility-learning","A","yes","MemTensor/MemRL","https://github.com/MemTensor/MemRL","Paper: “MEMRL: SELF-EVOLVING AGENTS VIA RUNTIME REINFORCEMENT LEARNING ON EPISODIC MEMORY” Open-Source Code","169","15","0","2026-08-20T21:22:11Z","main","MIT","False","4724","reward-updated memory utility","Closest open implementation of intent-experience-utility memories; audit reward assumptions and delayed-credit failure modes before reproduction"
"memory-distillation","A","yes","nemori-ai/nemori","https://github.com/nemori-ai/nemori","A minimalist MVP demonstrating a simple yet profound insight: aligning AI memory with human episodic memory granularity. Shows how this single principle enables simple methods to rival complex memory frameworks for conversational tasks.","208","20","6","2026-08-20T21:21:32Z","main","MIT","False","51441","prediction-error memory distillation","Compare intrinsic surprise at write time with observed and causal downstream utility; do not equate the three"
"model-routing","B","yes","lm-sys/RouteLLM","https://github.com/lm-sys/RouteLLM","A framework for serving and evaluating LLM routers - save LLM costs without compromising quality","5383","424","40","2026-08-23T03:23:36Z","main","Apache-2.0","False","5472","learned model cascade baseline","Reuse routing and cost-quality evaluation patterns only; its general-chat savings do not establish memory-manager performance"
"curated-index","A","yes","FeishuLuo/Evolving-LLM-Agent-Memory-Survey","https://github.com/FeishuLuo/Evolving-LLM-Agent-Memory-Survey","Paper list for ""From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms"".","45","1","1","2026-08-20T06:36:04Z","main","MIT","False","1062","agent-memory discovery map","Pinned MIT index only; survey entries are leads and do not count as primary evidence"
"cognitive-benchmark","A","yes","xjtuleeyf/Locomo-Plus","https://github.com/xjtuleeyf/Locomo-Plus",,"35","2","3","2026-08-22T06:07:34Z","main","NOASSERTION","False","1243","cue-trigger and latent-constraint memory benchmark","Pinned for audit; root has no license file and README defers license information so do not redistribute data or code"
"implicit-benchmark","A","yes","qinchonghanzuibang/ImplicitMemBench","https://github.com/qinchonghanzuibang/ImplicitMemBench","[ACL 2026 Best Resource Paper] The official code of ""ImplicitMemBench: Measuring Unconscious Behavioral Adaptation in Large Language Models""","8","0","0","2026-08-17T07:16:40Z","main","MIT","False","1429","procedural priming and conditioning benchmark","Pinned MIT benchmark; audit judge prompts data provenance and first-action scoring before reproduction"
"learned-memory-controller","B","yes","ericjiang18/MemCon","https://github.com/ericjiang18/MemCon",,"9","1","0","2026-08-14T02:29:15Z","main","NOASSERTION","False","16607","adaptive retrieval planning consolidation and forgetting policy","Very recent code candidate; README says MIT but root has no license file; reproduce frozen-rule baselines and distribution-shift harms before use"
"local-memory-contracts","A","yes","hjqcan/GoodMemory","https://github.com/hjqcan/GoodMemory","Local-first, auditable memory layer for AI apps and coding agents — Codex, Claude Code, MCP, HTTP, TypeScript, and Python.","16","1","1","2026-08-22T17:09:43Z","main","MIT","False","125943","typed evidence temporal records retrieval traces and evaluation gates","MIT; reuse narrow contracts and tests only; full Windows checkout is blocked by long generated paths"
"cited-local-memory","A","yes","arhuman/mnemos","https://github.com/arhuman/mnemos","Local-first MCP memory server for AI agents, with source citations and OKF/Markdown knowledge bases.","11","0","0","2026-08-18T01:12:57Z","main","NOASSERTION","False","3552","cited FTS5 retrieval path safety and deterministic RRF","Root license is MIT despite missing GitHub license classification; Go runtime unavailable locally"
"compact-local-memory","B","yes","Beledarian/mcp-local-memory","https://github.com/Beledarian/mcp-local-memory","A lightweight, powerful local memory server for AI agents supporting text, entities, and relations. Enables persistent codebase understanding and user preference management.","50","4","0","2026-08-12T16:15:49Z","main","MIT","False","830","SQLite FTS5 MCP comparator and explicit feedback ledger","MIT; npm install fails locally on Node 24 because better-sqlite3 requires an unavailable native build"
"authoritative-markdown-memory","B","yes","jagoff/memo","https://github.com/jagoff/memo","Your coding agent starts every session with amnesia — memo fixes that, 100% on your machine. Persistent memory for Claude Code, Codex, Cursor & any MCP client: Markdown source of truth, hybrid search (MLX/CPU + sqlite-vec), time-machine, contradiction radar, nightly self-optimization. No cloud, no keys.","14","5","5","2026-08-21T01:50:41Z","master","MIT","False","20901","Markdown source of truth context packs and atomic-write tests","MIT; Python 3.13 and macOS/Linux product; reference boundaries rather than whole-package adoption"
"interoperability","A","no","modelcontextprotocol/python-sdk","https://github.com/modelcontextprotocol/python-sdk","The official Python SDK for Model Context Protocol servers and clients","24091","3826","398","2026-08-23T01:18:52Z","main","MIT","False","15376","official provider-neutral MCP server and client SDK","MIT; pin a stable major and keep domain logic protocol-free"
"local-embedding-runtime","B","no","qdrant/fastembed","https://github.com/qdrant/fastembed","Fast, Accurate, Lightweight Python library to make State of the Art Embedding","3158","231","111","2026-08-21T07:00:55Z","main","Apache-2.0","False","4185","optional local dense retrieval adapter","Apache-2.0; benchmark model quality license dimension latency and Polish transfer"
"database-encryption","B","no","sqlcipher/sqlcipher","https://github.com/sqlcipher/sqlcipher","SQLCipher is a standalone fork of SQLite that adds 256 bit AES encryption of database files and other security features.","7249","1400","18","2026-08-22T09:55:34Z","master","BSD-3-Clause","False","64299","optional encrypted SQLite boundary","BSD-3-Clause; requires key-custody binary-platform backup and recovery audit"
"pii-screening","C","no","data-privacy-stack/presidio","https://github.com/data-privacy-stack/presidio","An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. Supports NLP, pattern matching, and customizable pipelines.","10580","1256","107","2026-08-22T23:43:39Z","main","MIT","False","339610","optional PII detection and anonymization worker","MIT; automated detection is incomplete and must not be treated as proof of safety"
"secret-screening","A","no","gitleaks/gitleaks","https://github.com/gitleaks/gitleaks","Find secrets with Gitleaks 🔑","28909","2207","461","2026-08-23T04:09:07Z","master","MIT","False","6458","pre-ingestion and pre-commit secret scanner","MIT core/CLI; separately licensed GitHub Action must not be conflated with the core"
"prospective-scheduling","B","no","agronholm/apscheduler","https://github.com/agronholm/apscheduler","Task scheduling library for Python","7612","776","60","2026-08-22T07:16:50Z","master","MIT","False","6098","time-based durable job scheduling adapter","MIT; pin stable 3.x; action authorization and event predicates remain project-owned"
"local-first-crdt","A","yes","automerge/automerge","https://github.com/automerge/automerge","A JSON-like data structure (a CRDT) that can be modified concurrently by different users and merged automatically.","6523","263","109","2026-08-23T01:36:37Z","main","MIT","False","133681","optional offline replicated-view and sync comparator","Pinned locally at 47908d6c04a0ce3fea0fa1d6b7f5ce6ba3e5792e; MIT; convergence is not truth authorization or erasure"
"local-first-crdt","A","yes","yjs/yjs","https://github.com/yjs/yjs","Shared data types for building collaborative software","22670","794","136","2026-08-23T03:48:33Z","main","MIT","False","73597","optional offline replicated-view and persistence comparator","Pinned locally at 567af9b41fe5e1290e0cfe7fcc025a9f98c514a0; root MIT verified; policy provenance and semantic invariants remain project-owned"
"distributed-capabilities","B","yes","ucan-wg/spec","https://github.com/ucan-wg/spec","User Controlled Authorization Network specification","288","21","23","2026-08-12T06:29:57Z","main","Community-Specification-1.0/MIT","False","677","capability delegation invocation and revocation contract candidate","Pinned locally at 9955aa1fb7b32897f80b57651f4ee8b22ebf35a7; specification and source-code licenses differ; compare with simple ACL baseline"
"bitemporal-database","B","no","xtdb/xtdb","https://github.com/xtdb/xtdb","An immutable SQL database for application development time-travel reporting and data compliance.","3044","192","709","2026-08-22T23:21:41Z","main","MPL-2.0","False","239783","full bitemporal SQL storage comparator","Remote HEAD 651a9df51af1abb853ef356172a759d35ee54a8c; do not download or integrate until portable text/SQLite resolver fails a frozen benchmark"
"versioned-sql-database","B","no","dolthub/dolt","https://github.com/dolthub/dolt","Dolt - Git for Data","24255","864","704","2026-08-23T06:55:52Z","main","Apache-2.0","False","185260","Git-style versioned table and lineage comparator","Remote HEAD 0d6b06015867dd0cabd2eb51ff222691aae992dc; commit history is not native valid-time semantics"
"sqlite-recovery","A","yes","benbjohnson/litestream","https://github.com/benbjohnson/litestream","Streaming replication for SQLite","14286","399","126","2026-08-23T03:03:30Z","main","Apache-2.0","False","4237","SQLite WAL replication point-in-time recovery and restore comparator","Pinned locally at 63225f17ccbb8dedfb26d03f7d3d07e74c6cf69f; pinned code rejects removed age encryption to avoid silent plaintext; restore integrity is not accepted-ID completeness"
"backup-recovery","B","no","restic/restic","https://github.com/restic/restic","Fast secure efficient backup program","35666","1839","576","2026-08-23T03:42:29Z","master","BSD-2-Clause","False","71789","encrypted snapshot verification and restore comparator for canonical files","Remote HEAD a80be1478a4c537f8396e0db2b05120aa78f11e0; do not download until destination key custody retention and restore drill are frozen"
