category,priority,download,repository,primary_use,notes
foundational-agent,B,yes,noahshinn/reflexion,verbal reinforcement and reflection,"Study episodic feedback and downstream reuse"
procedural-memory,B,yes,MineDojo/Voyager,skill library and lifelong embodied learning,"Study executable procedures curriculum and skill retrieval"
experience-learning,B,yes,LeapLabTHU/ExpeL,experience extraction and reuse,"Study lessons from trajectories and cross-task transfer"
conversational-memory,B,yes,zhongwanjun/MemoryBank-SiliconFriend,long-term user memory,"Inspect forgetting curve persona and memory update assumptions"
hierarchical-retrieval,B,yes,parthsarthi03/raptor,tree-organized retrieval,"Compare recursive summaries with exact-evidence retrieval"
graph-retrieval,B,no,microsoft/graphrag,graph RAG reference,"Large general RAG project; review selectively instead of cloning initially"
benchmark,B,no,GoodAI/goodai-ltm-benchmark,long-term memory and continual-learning tests,"Large repository; inspect methodology and licensing before download"
memory-governance,B,yes,rzhub/GateMem,shared-memory governance,"Study multi-principal access policy and evaluation"
emotional-memory,C,yes,NOBI327/amygdala,emotion-weighted retrieval prototype,"Small exploratory project; use only as comparison to operational salience"
curated-index,A,yes,IAAR-Shanghai/Awesome-AI-Memory,continuous paper and system discovery,"Use as a lead generator; independently verify every source"
curated-index,A,yes,TeleAI-UAGI/Awesome-Agent-Memory,agent-memory bibliography,"Use as a lead generator; independently verify every source"
tutorials,B,yes,NirDiamant/Agent_Memory_Techniques,runnable technique comparisons,"Useful for quickly reproducing architecture patterns; not primary evidence"
context-management,B,no,horizon-llm/CoMem,decoupled context compression,"Comparison class; modifies context-management architecture beyond core local-store target"
emerging-system,C,no,LycheeMem/LycheeMem,new long-term memory system,"Monitor; require paper and benchmark audit before promotion"
emerging-system,C,no,TIMAN-group/PlugMem,new memory framework,"Monitor; inspect claims and independent reproducibility"
governance,B,no,ProsusAI/MemEval,memory evaluation project,"Inspect scope and distinction from similarly named benchmarks"
research-code,B,yes,amvjakob/wm-rate-distortion,rate-distortion working-memory reproduction,"Primary code for Figures 2-8; current revision lacks pinned Julia environment bundled data and license so reproduction is blocked pending dependency/data reconstruction"
research-code,A,yes,zhuangziGiantfish/Unable-to-Forget,proactive-interference benchmark,"Pinned benchmark generator candidate; MIT; use core generation and error-position logic only after credential removal seed freezing parser tests and bug fixes"
dense-retrieval,A,yes,huggingface/sentence-transformers,local multilingual embedding inference,"Primary inference and evaluation library candidate; pin package code and model revisions separately"
dense-retrieval,A,yes,FlagOpen/FlagEmbedding,BGE-M3 dense and multi-function retrieval,"Resource-ceiling multilingual candidate; evaluate dense-only before any native sparse or multi-vector mode"
vector-search,A,yes,facebookresearch/faiss,exact vector search reference,"Use IndexFlatIP only as a checked implementation of normalized exact cosine before testing approximate indexes"
vector-storage,B,yes,asg017/sqlite-vec,portable SQLite vector extension,"Storage and deployment candidate only; do not confound it with the first embedding-quality comparison"
benchmark,A,yes,sdadas/pirb,Polish dense sparse and hybrid retrieval benchmark,"Use as Polish transfer and method-design evidence; audit individual dataset licenses before downloading any corpus"
utility-learning,A,yes,MemTensor/MemRL,reward-updated memory utility,"Closest open implementation of intent-experience-utility memories; audit reward assumptions and delayed-credit failure modes before reproduction"
memory-distillation,A,yes,nemori-ai/nemori,prediction-error memory distillation,"Compare intrinsic surprise at write time with observed and causal downstream utility; do not equate the three"
model-routing,B,yes,lm-sys/RouteLLM,learned model cascade baseline,"Reuse routing and cost-quality evaluation patterns only; its general-chat savings do not establish memory-manager performance"
